date,open,high,low,close,volume
2025-09-15,236.55,237.74,234.58,236.25,42699500
2025-09-16,236.73,240.76,235.87,237.7,63421100
2025-09-17,238.52,239.64,237.28,238.54,46508000
2025-09-18,239.51,240.74,236.2,237.43,44249600
2025-09-19,240.77,245.83,239.75,245.03,163741300
2025-09-22,247.83,256.15,247.65,255.59,105517400
2025-09-23,255.39,256.85,253.1,253.95,60275200
2025-09-24,254.73,255.25,250.56,251.83,42303700
2025-09-25,252.73,256.68,251.23,256.38,55202100
2025-09-26,253.62,257.11,253.3,254.97,46076300
2025-09-29,254.08,254.51,252.53,253.95,40127700
2025-09-30,254.38,255.43,252.63,254.15,37704300
2025-10-01,254.55,258.3,254.45,254.96,48713900
2025-10-02,256.09,257.69,253.67,256.64,42630200
2025-10-03,254.19,258.75,253.47,257.53,49155600
2025-10-06,257.5,258.58,254.56,256.2,44664100
2025-10-07,256.32,256.91,254.94,255.99,31955800
2025-10-08,256.03,258.03,255.62,257.57,36496900
2025-10-09,257.32,257.51,252.66,253.56,38322000
2025-10-10,254.46,255.89,243.54,244.8,61999100
2025-10-13,248.91,249.21,245.09,247.19,38142900
2025-10-14,246.13,248.38,244.23,247.3,35478000
2025-10-15,249.02,251.34,247.0,248.87,33893600
2025-10-16,247.78,248.57,244.66,246.98,39777000
2025-10-17,247.55,252.9,246.8,251.81,49147000
2025-10-20,255.4,263.88,255.14,261.74,90483000
2025-10-21,261.38,264.79,261.33,262.27,46695900
2025-10-22,262.15,262.35,254.94,257.96,45015300
2025-10-23,259.45,260.12,257.52,259.09,32754900
2025-10-24,260.69,263.63,258.69,262.32,38253700
2025-10-27,264.38,268.61,264.15,268.3,44888200
2025-10-28,268.48,269.38,267.64,268.49,41534800
2025-10-29,268.77,270.89,266.6,269.19,51086700
2025-10-30,271.47,273.62,267.97,270.88,69886500
2025-10-31,276.46,276.79,268.65,269.86,86167100
2025-11-03,269.91,270.33,265.74,268.54,50194600
2025-11-04,267.82,270.97,267.11,269.53,49274800
2025-11-05,268.1,271.18,266.42,269.63,43683100
2025-11-06,267.38,272.88,267.38,269.26,51204000
2025-11-07,269.29,271.77,266.26,267.96,48227400
2025-11-10,268.71,273.47,267.21,269.18,41312400
2025-11-11,269.56,275.65,269.55,274.99,46208300
2025-11-12,274.74,275.47,271.45,273.21,48398000
2025-11-13,273.85,276.44,271.84,272.69,49602800
2025-11-14,270.8,275.7,269.35,272.16,47431300
2025-11-17,268.57,270.24,265.48,267.21,45018300
2025-11-18,269.74,270.46,265.07,267.19,45677300
2025-11-19,265.28,271.96,265.25,268.31,40424500
2025-11-20,270.58,275.17,265.67,266.0,45823600
2025-11-21,265.7,273.07,265.42,271.24,59030800
2025-11-24,270.65,276.74,270.65,275.66,65585800
2025-11-25,275.01,280.12,274.99,276.71,46914200
2025-11-26,276.7,279.27,276.37,277.29,33431400
2025-11-28,277.0,278.74,275.73,278.59,20135600
2025-12-01,277.75,283.16,275.88,282.84,46587700
2025-12-02,282.74,287.13,282.37,285.92,53669500
2025-12-03,285.93,288.35,283.04,283.88,43538700
2025-12-04,283.83,284.46,278.33,280.44,43989100
2025-12-05,280.28,280.88,277.79,278.52,47265800
2025-12-08,277.87,279.41,275.89,277.63,38211800
2025-12-09,277.9,279.77,276.66,276.92,32193300
2025-12-10,277.49,279.49,276.18,278.52,33038300
2025-12-11,278.84,279.33,273.55,277.77,33248000
2025-12-12,277.64,278.96,276.56,278.02,39532900
2025-12-15,279.89,279.89,272.58,273.85,50409100
2025-12-16,272.56,275.24,271.54,274.35,37648600
2025-12-17,274.75,275.9,271.39,271.59,50138700
2025-12-18,273.35,273.37,266.7,271.94,51630700
2025-12-19,271.9,274.34,269.65,273.41,144632000
2025-12-22,272.6,273.62,270.26,270.72,36571800
2025-12-23,270.59,272.25,269.31,272.11,29642000
2025-12-24,272.09,275.17,271.95,273.55,17910600
2025-12-26,273.9,275.11,272.6,273.14,21521800
2025-12-29,272.44,274.1,272.1,273.5,23715200
2025-12-30,272.55,273.82,272.03,272.82,22139600
2025-12-31,272.8,273.42,271.5,271.61,27293600
2026-01-02,272.01,277.58,268.75,270.76,37838100
2026-01-05,270.39,271.26,265.89,267.01,45647200
2026-01-06,266.75,267.3,261.87,262.11,52352100
2026-01-07,262.95,263.43,259.57,260.09,48309800
2026-01-08,256.78,259.05,255.46,258.8,50419300
2026-01-09,258.84,259.97,255.98,259.13,39997000
2026-01-12,258.92,261.06,256.56,260.01,45263800
2026-01-13,258.48,261.57,258.15,260.81,45730800
2026-01-14,259.25,261.58,256.47,259.72,40019400
2026-01-15,260.41,260.8,256.81,257.97,39388600
2026-01-16,257.66,258.66,254.69,255.29,72142800
2026-01-20,252.49,254.55,243.19,246.47,80267500
2026-01-21,248.47,251.32,244.95,247.42,54641700
2026-01-22,248.97,250.77,247.92,248.12,39708300
2026-01-23,247.09,249.18,244.45,247.81,41689000
2026-01-26,251.24,256.32,249.57,255.17,55969200
2026-01-27,258.93,261.71,257.97,258.03,49648300
2026-01-28,257.41,258.62,254.27,256.2,41288000
2026-01-29,257.76,259.41,254.17,258.04,67253000
2026-01-30,254.93,261.66,251.94,259.24,92443400
2026-02-02,259.79,270.24,258.97,269.76,73913400
2026-02-03,268.95,271.63,267.36,269.23,64394700
2026-02-04,272.04,278.69,272.04,276.23,90545700
2026-02-05,277.87,279.24,272.97,275.65,52977400
2026-02-06,276.86,280.65,276.67,277.86,50453400
2026-02-09,277.91,278.2,271.7,274.62,44623400
2026-02-10,274.89,275.37,272.94,273.68,34376900
2026-02-11,274.7,280.18,274.45,275.5,51931300
2026-02-12,275.59,275.72,260.18,261.73,81077200
2026-02-13,262.01,262.23,255.45,255.78,56290700
2026-02-17,258.05,266.29,255.54,263.88,58469100
2026-02-18,263.6,266.82,262.45,264.35,34203300
2026-02-19,262.6,264.48,260.05,260.58,30845300
2026-02-20,258.97,264.75,258.16,264.58,42070500
2026-02-23,263.49,269.43,263.38,266.18,37308200
2026-02-24,267.86,274.89,267.71,272.14,47014600
2026-02-25,271.78,274.94,271.05,274.23,33714300
2026-02-26,274.95,276.11,270.8,272.95,32345100
2026-02-27,272.81,272.81,262.89,264.18,72366500
2026-03-02,262.41,266.53,260.2,264.72,41827900
2026-03-03,263.48,265.56,260.13,263.75,38568900
2026-03-04,264.65,266.15,261.42,262.52,39803100
2026-03-05,260.79,261.56,257.25,260.29,49658600
2026-03-06,258.63,258.77,254.37,257.46,41120000
2026-03-09,255.69,261.15,253.68,259.88,38218500
2026-03-10,257.65,262.48,256.95,260.83,30590800
2026-03-11,261.09,262.13,259.55,260.81,26218900
2026-03-12,258.66,258.95,254.18,255.76,40794000
2026-03-13,255.48,256.33,249.52,250.12,36930000
2026-03-16,252.11,253.89,249.88,252.82,32074200
2026-03-17,252.96,255.13,252.18,254.23,32361600
2026-03-18,252.63,254.94,249.0,249.94,35757900
2026-03-19,249.4,251.83,247.3,248.96,34864100
2026-03-20,247.98,249.2,246.0,247.99,88331100
2026-03-23,253.97,254.6,250.28,251.49,40546100
2026-03-24,250.35,254.83,249.55,251.64,45152300
2026-03-25,254.1,255.0,251.6,252.62,28476700
2026-03-26,252.12,257.0,250.77,252.89,41796700
2026-03-27,253.9,255.49,248.07,248.8,47900000
2026-03-30,250.07,250.87,245.51,246.63,39446200
2026-03-31,247.91,255.48,247.1,253.79,49598100
2026-04-01,254.08,256.18,253.33,255.63,40059400
2026-04-02,254.2,256.13,250.65,255.92,31289400
