date,open,high,low,close,volume
2025-07-31,182.87,183.27,175.9,177.84,221685400
2025-08-01,174.06,176.51,170.86,173.69,204529000
2025-08-04,175.13,180.17,174.49,179.97,148174600
2025-08-05,179.59,180.23,175.87,178.23,156407600
2025-08-06,176.3,179.87,176.22,179.39,137192300
2025-08-07,181.54,183.85,178.77,180.74,151878400
2025-08-08,181.52,183.27,180.37,182.67,123396700
2025-08-11,182.02,183.81,180.22,182.03,138323200
2025-08-12,182.93,184.45,179.43,183.13,145485700
2025-08-13,182.59,183.94,179.32,181.56,179871700
2025-08-14,179.72,182.99,179.43,181.99,129554000
2025-08-15,181.85,181.87,178.01,180.42,156602200
2025-08-18,180.57,182.91,180.56,181.98,132008000
2025-08-19,182.4,182.47,175.46,175.61,185229200
2025-08-20,175.14,175.97,168.77,175.37,215142700
2025-08-21,174.82,176.87,173.78,174.95,140040900
2025-08-22,172.58,178.56,171.17,177.96,172789400
2025-08-25,178.32,181.88,176.54,179.78,163012800
2025-08-26,180.03,182.36,178.78,181.74,168688200
2025-08-27,181.95,182.46,179.07,181.57,235518900
2025-08-28,180.79,184.44,176.38,180.14,281787800
2025-08-29,178.08,178.12,173.12,174.15,243257900
2025-09-02,169.97,172.35,167.19,170.75,231164900
2025-09-03,171.03,172.38,168.85,170.59,164424900
2025-09-04,170.54,171.83,169.38,171.63,141670100
2025-09-05,168.0,169.0,164.04,166.99,224441400
2025-09-08,167.52,170.93,167.32,168.28,163769100
2025-09-09,169.06,170.95,166.71,170.73,157548400
2025-09-10,176.61,179.26,175.44,177.3,226852000
2025-09-11,179.66,180.26,176.46,177.15,151159300
2025-09-12,177.75,178.58,176.43,177.8,124911000
2025-09-15,175.65,178.83,174.49,177.73,147061600
2025-09-16,176.98,177.48,174.36,174.86,140737800
2025-09-17,172.62,173.18,168.39,170.27,211843800
2025-09-18,173.96,177.08,172.94,176.22,191763300
2025-09-19,175.75,178.06,175.16,176.65,237182100
2025-09-22,175.28,184.53,174.69,183.59,269637000
2025-09-23,181.95,182.4,176.19,178.41,192559600
2025-09-24,179.75,179.76,175.38,176.95,143564100
2025-09-25,174.46,180.24,173.11,177.67,191586700
2025-09-26,178.15,179.75,174.91,178.17,148573700
2025-09-29,180.41,183.98,180.3,181.83,193063500
2025-09-30,182.06,187.33,181.46,186.56,236981000
2025-10-01,185.22,188.12,183.88,187.22,173844900
2025-10-02,189.58,191.03,188.04,188.87,136805800
2025-10-03,189.17,190.34,185.36,187.6,137596900
2025-10-06,185.48,187.21,183.31,185.52,157678100
2025-10-07,186.21,189.04,183.98,185.02,140088000
2025-10-08,186.55,189.58,186.52,189.09,130168900
2025-10-09,192.21,195.28,191.04,192.55,182997200
2025-10-10,193.49,195.6,182.03,183.14,268774400
2025-10-13,187.95,190.09,185.94,188.3,153482800
2025-10-14,184.75,184.78,179.68,180.01,205641400
2025-10-15,184.78,184.85,177.27,179.81,214450500
2025-10-16,182.21,183.26,179.75,181.79,179723300
2025-10-17,180.16,184.08,179.73,183.2,173135200
2025-10-20,183.11,185.18,181.71,182.62,128544700
2025-10-21,182.77,182.77,179.78,181.14,124240200
2025-10-22,181.12,183.42,176.74,180.26,162249600
2025-10-23,180.4,183.01,179.77,182.14,111363700
2025-10-24,183.82,187.45,183.48,186.24,131296700
2025-10-27,189.97,191.98,188.41,191.47,153452700
2025-10-28,193.03,203.13,191.89,201.01,297986200
2025-10-29,207.96,212.17,204.76,207.02,308829600
2025-10-30,205.13,206.14,201.39,202.87,178864400
2025-10-31,206.43,207.95,202.05,202.47,179802200
2025-11-03,208.06,211.32,205.54,206.86,180267300
2025-11-04,202.98,203.95,197.91,198.67,188919300
2025-11-05,198.75,202.9,194.63,195.19,171350300
2025-11-06,196.4,197.6,186.36,188.06,223029800
2025-11-07,184.88,188.3,178.89,188.13,264942300
2025-11-10,195.09,199.92,193.77,199.03,198897100
2025-11-11,195.14,195.4,191.28,193.14,176483300
2025-11-12,195.7,195.87,191.11,193.78,154935300
2025-11-13,191.03,191.42,183.83,186.84,207423100
2025-11-14,182.84,190.99,180.56,190.15,186591900
2025-11-17,185.95,188.98,184.3,186.58,173628900
2025-11-18,183.36,184.78,179.63,181.34,213598900
2025-11-19,184.77,187.84,182.81,186.5,247246400
2025-11-20,195.93,195.98,179.83,180.62,343504800
2025-11-21,181.22,184.54,172.91,178.86,346926200
2025-11-24,179.47,183.48,176.46,182.53,256618300
2025-11-25,174.89,178.14,169.53,177.8,320600300
2025-11-26,181.61,182.89,178.22,180.24,183852000
2025-11-28,178.99,179.27,176.48,176.98,121332800
2025-12-01,174.74,180.28,173.66,179.9,188131000
2025-12-02,181.74,185.64,179.98,181.44,182632200
2025-12-03,181.06,182.43,179.09,179.57,165138000
2025-12-04,181.61,184.51,179.95,183.37,167364900
2025-12-05,183.88,184.65,180.9,182.4,143971100
2025-12-08,182.63,187.99,182.39,185.54,204378100
2025-12-09,185.55,185.71,183.31,184.96,144719700
2025-12-10,184.96,185.47,182.03,183.77,162785400
2025-12-11,180.27,181.31,176.61,180.92,182136600
2025-12-12,181.1,182.81,174.61,175.01,204274900
2025-12-15,177.93,178.41,175.02,176.28,164775600
2025-12-16,176.25,178.48,174.89,177.71,148588100
2025-12-17,176.09,176.12,170.3,170.93,222775500
2025-12-18,174.52,176.14,171.81,174.13,176096000
2025-12-19,176.66,181.44,176.33,180.98,324925900
2025-12-22,183.91,184.15,182.34,183.68,129064400
2025-12-23,182.96,189.32,182.89,189.2,174873600
2025-12-24,187.93,188.9,186.58,188.6,65528500
2025-12-26,189.91,192.68,187.99,190.52,139740300
2025-12-29,187.7,188.75,185.9,188.21,120006100
2025-12-30,188.23,188.98,186.92,187.53,97687300
2025-12-31,189.56,190.55,186.48,186.49,120100500
2026-01-02,189.83,192.92,188.25,188.84,148240500
2026-01-05,191.75,193.62,186.14,188.11,183529700
2026-01-06,190.51,192.16,186.81,187.23,176862600
2026-01-07,188.56,191.36,186.55,189.1,153543200
2026-01-08,189.1,189.54,183.7,185.03,172457000
2026-01-09,185.07,186.33,183.66,184.85,131327500
2026-01-12,183.21,187.11,183.01,184.93,137968500
2026-01-13,184.99,188.1,183.39,185.8,160128900
2026-01-14,184.31,184.45,180.79,183.13,159586100
2026-01-15,186.49,189.69,186.32,187.04,206188600
2026-01-16,189.07,190.43,186.07,186.22,187967200
2026-01-20,181.89,182.37,177.6,178.06,223345300
2026-01-21,179.04,185.37,178.39,183.31,200381000
2026-01-22,184.74,186.16,183.92,184.83,139636600
2026-01-23,187.49,189.59,186.81,187.66,142748100
2026-01-26,187.15,189.11,185.98,186.46,124799600
2026-01-27,187.23,189.99,185.69,188.51,143711600
2026-01-28,191.26,192.34,189.83,191.51,148552700
2026-01-29,191.33,193.47,186.05,192.5,171764400
2026-01-30,191.2,194.48,189.46,191.12,179489500
2026-02-02,187.19,190.29,184.87,185.6,165794100
2026-02-03,186.23,186.26,176.22,180.33,204019600
2026-02-04,179.45,179.57,171.9,174.18,207014100
2026-02-05,174.92,176.81,171.02,171.87,206312900
2026-02-06,176.68,186.99,174.59,185.4,231346200
2026-02-09,184.25,193.65,183.94,190.03,196387400
2026-02-10,191.37,192.47,188.11,188.53,136764800
2026-02-11,192.44,193.25,188.76,190.04,144192700
2026-02-12,193.02,193.6,186.5,186.93,189932500
2026-02-13,187.47,187.49,181.58,182.8,161888000
2026-02-17,181.74,187.14,179.17,184.96,162276900
2026-02-18,188.74,190.36,186.75,187.97,164749100
2026-02-19,187.05,188.42,185.65,187.89,126554500
2026-02-20,186.56,190.32,185.93,189.81,178422300
2026-02-23,191.39,193.94,189.57,191.54,171584800
2026-02-24,191.48,193.76,187.39,192.84,175123600
2026-02-25,194.44,197.62,193.78,195.55,250637100
2026-02-26,194.26,194.28,184.31,184.88,360807900
2026-02-27,181.24,182.58,176.37,177.18,311636500
2026-03-02,175.0,183.45,174.63,182.47,209095300
